Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
26 02 23,20:38:26,cuarto,74.6064%,30%,24C
26 02 23,20:38:33,sala,55%,40.60%,23.90C
26 02 23,20:38:33,cuarto,74.8032%,30%,24C
26 02 23,20:38:41,sala,55%,40.70%,23.90C
26 02 23,20:38:41,cuarto,74.8032%,31%,24C
26 02 23,20:38:48,sala,55%,40.30%,23.90C
26 02 23,20:38:48,cuarto,74.8032%,31%,24C
26 02 23,20:38:55,sala,55%,40.30%,23.90C
26 02 23,20:38:55,cuarto,74.21279%,31%,24C
26 02 23,20:39:03,sala,55%,40.30%,23.90C
26 02 23,20:39:03,cuarto,74.65559%,32%,24C
26 02 23,20:39:10,sala,55%,40.30%,23.90C
26 02 23,20:39:10,cuarto,74.6064%,32%,24C
26 02 23,20:39:17,sala,55%,40.70%,24.00C
26 02 23,20:39:17,cuarto,74.8524%,31%,24C
26 02 23,20:39:24,sala,55%,41.10%,24.00C
26 02 23,20:39:24,cuarto,74.754%,30%,24C
26 02 23,20:39:32,sala,55%,41.20%,24.00C
26 02 23,20:39:32,cuarto,74.31119%,29%,24C
26 02 23,20:39:39,sala,55%,41.10%,24.00C
26 02 23,20:39:39,cuarto,75.0%,29%,24C
26 02 23,20:39:46,sala,55%,41.00%,24.00C
26 02 23,20:39:46,cuarto,74.31119%,29%,24C
26 02 23,20:39:53,sala,55%,41.00%,24.00C
26 02 23,20:39:53,cuarto,75.0%,31%,24C
26 02 23,20:40:01,sala,55%,40.70%,24.00C
26 02 23,20:40:01,cuarto,74.8032%,30%,24C
26 02 23,20:40:15,sala,55%,40.60%,24.00C
26 02 23,20:40:15,cuarto,74.65559%,30%,24C
26 02 23,20:40:23,sala,55%,40.80%,24.00C
26 02 23,20:40:23,cuarto,74.65559%,31%,24C
26 02 23,20:40:59,sala,55%,40.40%,24.00C
26 02 23,20:40:59,cuarto,74.65559%,32%,24C
26 02 23,20:41:06,sala,55%,39.90%,24.00C
26 02 23,20:41:06,cuarto,74.70479%,32%,24C
26 02 23,20:41:13,sala,55%,39.90%,24.00C
26 02 23,20:41:13,cuarto,74.70479%,32%,24C
26 02 23,20:41:21,sala,55%,39.70%,24.00C
26 02 23,20:41:21,cuarto,74.6064%,32%,24C
26 02 23,20:41:28,sala,55%,39.90%,24.00C
26 02 23,20:41:28,cuarto,75.0492%,32%,24C
26 02 23,20:41:35,sala,55%,39.90%,23.90C
26 02 23,20:41:35,cuarto,74.5572%,32%,24C
26 02 23,20:41:43,sala,55%,40.00%,23.90C
26 02 23,20:41:43,cuarto,74.8032%,32%,24C
26 02 23,20:41:50,sala,55%,40.30%,23.90C
26 02 23,20:41:50,cuarto,74.50799%,32%,24C
26 02 23,20:41:57,sala,55%,40.20%,23.90C
26 02 23,20:41:57,cuarto,74.6064%,32%,24C
26 02 23,20:42:34,sala,55%,40.00%,23.90C
26 02 23,20:42:34,cuarto,74.65559%,32%,24C
26 02 23,20:42:41,sala,55%,40.10%,23.90C
26 02 23,20:42:41,cuarto,74.31119%,32%,24C
26 02 23,20:42:48,sala,55%,40.40%,23.90C
26 02 23,20:42:48,cuarto,74.31119%,32%,24C
26 02 23,20:42:55,sala,55%,40.20%,23.90C
26 02 23,20:42:55,cuarto,74.45879%,32%,24C
26 02 23,20:43:03,sala,55%,40.30%,23.90C
26 02 23,20:43:03,cuarto,74.754%,32%,24C
26 02 23,20:43:10,sala,55%,40.60%,23.90C
26 02 23,20:43:10,cuarto,74.40959%,32%,24C
26 02 23,20:43:17,sala,55%,40.90%,23.90C
26 02 23,20:43:17,cuarto,74.6064%,32%,24C
26 02 23,20:43:24,sala,55%,41.00%,23.90C
26 02 23,20:43:24,cuarto,74.9016%,32%,24C
26 02 23,20:43:32,sala,55%,40.90%,23.90C
26 02 23,20:43:32,cuarto,74.6064%,30%,24C
26 02 23,20:43:39,sala,55%,40.70%,23.90C
26 02 23,20:43:39,cuarto,74.754%,29%,24C
26 02 23,20:43:46,sala,55%,40.70%,23.90C
26 02 23,20:43:46,cuarto,74.65559%,29%,24C
26 02 23,20:43:54,sala,55%,40.50%,23.90C
26 02 23,20:43:54,cuarto,74.40959%,28%,24C
26 02 23,20:44:01,sala,55%,40.30%,23.90C
26 02 23,20:44:01,cuarto,74.70479%,28%,24C
26 02 23,20:44:08,sala,55%,40.60%,23.90C
26 02 23,20:44:08,cuarto,74.65559%,28%,24C
26 02 23,20:44:15,sala,55%,40.70%,23.90C
26 02 23,20:44:15,cuarto,74.8032%,28%,24C
26 02 23,20:44:23,sala,55%,40.40%,23.90C
26 02 23,20:44:23,cuarto,74.754%,28%,24C
26 02 23,20:44:30,sala,55%,40.10%,23.90C
26 02 23,20:44:30,cuarto,74.70479%,28%,24C
26 02 23,20:44:37,sala,55%,40.00%,23.90C
26 02 23,20:44:37,cuarto,74.6064%,28%,24C
26 02 23,20:44:44,sala,55%,39.60%,23.90C
26 02 23,20:44:44,cuarto,74.65559%,28%,24C
26 02 23,20:45:43,sala,55%,40.30%,23.90C
26 02 23,20:45:43,cuarto,74.65559%,30%,24C
26 02 23,20:46:04,sala,55%,40.30%,23.90C
26 02 23,20:46:04,cuarto,73.96679%,30%,24C
26 02 23,20:46:12,sala,55%,40.50%,23.90C
26 02 23,20:46:12,cuarto,74.40959%,31%,24C
26 02 23,20:46:26,sala,55%,40.40%,23.90C
26 02 23,20:46:26,cuarto,74.40959%,31%,24C
26 02 23,20:46:34,sala,55%,40.00%,23.90C
26 02 23,20:46:34,cuarto,74.21279%,31%,24C
26 02 23,20:46:55,sala,55%,39.90%,23.90C
26 02 23,20:46:55,cuarto,74.45879%,31%,24C
26 02 23,20:47:03,sala,55%,40.40%,23.90C
26 02 23,20:47:03,cuarto,74.754%,31%,24C
26 02 23,20:47:25,sala,55%,40.30%,23.90C
26 02 23,20:47:25,cuarto,74.45879%,30%,24C
26 02 23,20:48:08,sala,55%,39.80%,23.90C
26 02 23,20:48:08,cuarto,74.45879%,32%,24C
26 02 23,20:48:15,sala,55%,40.30%,23.90C
26 02 23,20:48:15,cuarto,74.40959%,31%,24C
26 02 23,20:48:23,sala,55%,40.50%,23.90C
26 02 23,20:48:23,cuarto,74.31119%,31%,24C
26 02 23,20:48:30,sala,55%,40.40%,23.90C
26 02 23,20:48:30,cuarto,74.11439%,30%,24C
26 02 23,20:48:37,sala,55%,40.80%,23.90C
26 02 23,20:48:37,cuarto,74.31119%,29%,24C
26 02 23,20:48:45,sala,55%,40.90%,23.90C
26 02 23,20:48:45,cuarto,74.45879%,29%,24C
26 02 23,20:48:52,sala,55%,40.80%,23.90C
26 02 23,20:48:52,cuarto,74.45879%,29%,24C
26 02 23,20:48:59,sala,55%,40.70%,23.90C
26 02 23,20:48:59,cuarto,73.96679%,30%,24C
26 02 23,20:49:14,sala,55%,40.50%,24.00C
26 02 23,20:49:14,cuarto,74.50799%,28%,24C
26 02 23,20:49:21,sala,55%,39.70%,24.00C
26 02 23,20:49:21,cuarto,74.21279%,28%,24C
26 02 23,20:49:28,sala,55%,39.50%,24.00C
26 02 23,20:49:28,cuarto,74.21279%,29%,24C
26 02 23,20:49:35,sala,55%,39.50%,24.00C
26 02 23,20:49:35,cuarto,74.754%,29%,24C
26 02 23,20:49:50,sala,55%,39.40%,23.90C
26 02 23,20:49:50,cuarto,74.70479%,29%,24C
26 02 23,20:49:57,sala,55%,40.00%,23.90C
26 02 23,20:49:57,cuarto,74.21279%,28%,24C
26 02 23,20:50:05,sala,55%,40.00%,23.90C
26 02 23,20:50:05,cuarto,74.65559%,28%,24C
26 02 23,20:50:41,sala,55%,40.10%,23.90C
26 02 23,20:50:41,cuarto,74.6064%,30%,24C
26 02 23,20:50:48,sala,55%,40.10%,23.90C
26 02 23,20:50:48,cuarto,74.754%,30%,24C
26 02 23,20:50:55,sala,55%,40.10%,23.90C
26 02 23,20:50:55,cuarto,74.31119%,30%,24C
26 02 23,20:51:03,sala,55%,40.10%,23.90C
26 02 23,20:51:03,cuarto,74.01599%,31%,24C
26 02 23,20:51:10,sala,55%,39.90%,23.90C
26 02 23,20:51:10,cuarto,74.11439%,31%,24C
26 02 23,20:51:17,sala,55%,40.00%,24.00C
26 02 23,20:51:17,cuarto,74.16359%,31%,24C
26 02 23,20:51:25,sala,55%,40.50%,23.90C
26 02 23,20:51:25,cuarto,74.11439%,31%,24C
26 02 23,20:51:32,sala,55%,40.60%,23.90C
26 02 23,20:51:32,cuarto,74.45879%,31%,24C
26 02 23,20:51:39,sala,55%,40.30%,23.90C
26 02 23,20:51:39,cuarto,74.40959%,31%,24C
26 02 23,20:51:46,sala,55%,40.20%,24.00C
26 02 23,20:51:46,cuarto,74.06519%,31%,24C
26 02 23,20:51:54,sala,55%,40.10%,23.90C
26 02 23,20:51:54,cuarto,74.40959%,31%,24C
26 02 23,20:52:01,sala,55%,40.00%,23.90C
26 02 23,20:52:01,cuarto,74.11439%,31%,24C
26 02 23,20:52:08,sala,55%,40.10%,23.90C
26 02 23,20:52:08,cuarto,74.65559%,30%,24C
26 02 23,20:52:16,sala,55%,40.90%,23.90C
26 02 23,20:52:16,cuarto,74.06519%,31%,24C
26 02 23,20:52:23,sala,55%,41.50%,24.00C
26 02 23,20:52:23,cuarto,74.26199%,31%,24C
26 02 23,20:52:30,sala,55%,41.50%,24.00C
26 02 23,20:52:30,cuarto,74.21279%,31%,24C
26 02 23,20:52:37,sala,55%,41.40%,24.00C
26 02 23,20:52:37,cuarto,74.26199%,31%,24C
26 02 23,20:52:59,sala,49%,41.40%,24.00C
26 02 23,20:52:59,cuarto,74.21279%,30%,24C
26 02 23,20:53:14,sala,49%,41.50%,24.10C
26 02 23,20:53:14,cuarto,74.26199%,29%,24C
26 02 23,20:53:21,sala,49%,40.80%,24.10C
26 02 23,20:53:21,cuarto,75.0492%,29%,24C
26 02 23,20:53:28,sala,49%,40.50%,24.10C
26 02 23,20:53:28,cuarto,74.40959%,28%,24C
26 02 23,20:53:36,sala,49%,40.20%,24.10C
26 02 23,20:53:36,cuarto,74.6064%,29%,24C
26 02 23,20:53:43,sala,49%,40.10%,24.10C
26 02 23,20:53:43,cuarto,74.21279%,29%,24C
26 02 23,20:53:57,sala,49%,39.80%,24.10C
26 02 23,20:53:57,cuarto,74.06519%,29%,24C
26 02 23,20:54:05,sala,49%,40.40%,24.10C
26 02 23,20:54:05,cuarto,74.40959%,29%,24C
26 02 23,20:54:12,sala,49%,40.20%,24.10C
26 02 23,20:54:12,cuarto,74.70479%,29%,24C
26 02 23,20:54:19,sala,49%,40.00%,24.00C
26 02 23,20:54:19,cuarto,74.50799%,29%,24C
26 02 23,20:54:26,sala,49%,39.70%,24.00C
26 02 23,20:54:26,cuarto,74.65559%,29%,24C
26 02 23,20:54:34,sala,49%,39.60%,24.00C
26 02 23,20:54:34,cuarto,74.45879%,29%,24C
26 02 23,20:54:41,sala,49%,39.50%,24.00C
26 02 23,20:54:41,cuarto,74.50799%,30%,24C
26 02 23,20:54:48,sala,49%,39.60%,24.00C
26 02 23,20:54:48,cuarto,74.50799%,30%,24C
26 02 23,20:54:56,sala,49%,39.70%,24.00C
26 02 23,20:54:56,cuarto,74.65559%,30%,24C
26 02 23,20:55:03,sala,49%,39.70%,24.00C
26 02 23,20:55:03,cuarto,74.11439%,30%,24C
26 02 23,20:55:17,sala,49%,39.80%,24.00C
26 02 23,20:55:17,cuarto,74.45879%,31%,24C
26 02 23,20:55:25,sala,49%,39.70%,24.00C
26 02 23,20:55:25,cuarto,74.5572%,31%,24C
26 02 23,20:55:39,sala,49%,39.80%,23.90C
26 02 23,20:55:39,cuarto,74.40959%,31%,24C
26 02 23,20:55:46,sala,49%,40.60%,23.90C
26 02 23,20:55:46,cuarto,74.31119%,31%,24C
26 02 23,20:55:54,sala,49%,41.00%,23.90C
26 02 23,20:55:54,cuarto,74.70479%,31%,24C
26 02 23,20:56:01,sala,49%,41.00%,23.90C
26 02 23,20:56:01,cuarto,74.40959%,31%,24C
26 02 23,20:56:16,sala,49%,41.00%,23.90C
26 02 23,20:56:16,cuarto,74.65559%,32%,24C
26 02 23,20:56:23,sala,49%,40.90%,23.90C
26 02 23,20:56:23,cuarto,74.26199%,32%,24C
26 02 23,20:56:30,sala,49%,40.70%,23.90C
26 02 23,20:56:30,cuarto,74.70479%,32%,24C
26 02 23,20:56:37,sala,49%,40.40%,23.90C
26 02 23,20:56:37,cuarto,74.01599%,32%,24C
26 02 23,20:56:45,sala,49%,40.10%,23.90C
26 02 23,20:56:45,cuarto,74.50799%,32%,24C
26 02 23,20:56:52,sala,49%,40.00%,23.90C
26 02 23,20:56:52,cuarto,74.45879%,32%,24C
26 02 23,20:56:59,sala,49%,40.30%,23.90C
26 02 23,20:56:59,cuarto,74.21279%,31%,24C
26 02 23,20:57:07,sala,49%,40.50%,23.90C
26 02 23,20:57:07,cuarto,74.31119%,31%,24C
26 02 23,20:57:14,sala,49%,40.50%,23.90C
26 02 23,20:57:14,cuarto,74.40959%,31%,24C
26 02 23,20:57:21,sala,49%,40.90%,23.90C
26 02 23,20:57:21,cuarto,74.45879%,31%,24C
26 02 23,20:57:57,sala,49%,41.20%,23.90C
26 02 23,20:57:57,cuarto,74.45879%,32%,24C
26 02 23,20:58:05,sala,49%,40.70%,23.90C
26 02 23,20:58:05,cuarto,74.45879%,31%,24C
26 02 23,20:58:12,sala,49%,40.70%,23.90C
26 02 23,20:58:12,cuarto,74.06519%,31%,24C
26 02 23,20:58:19,sala,49%,40.80%,23.90C
26 02 23,20:58:19,cuarto,74.26199%,31%,24C
26 02 23,20:58:27,sala,49%,41.20%,23.90C
26 02 23,20:58:27,cuarto,74.06519%,31%,24C
26 02 23,20:58:34,sala,49%,41.20%,23.90C
26 02 23,20:58:34,cuarto,74.40959%,31%,24C
26 02 23,20:58:41,sala,49%,41.00%,23.90C
26 02 23,20:58:41,cuarto,74.50799%,31%,24C
26 02 23,20:58:48,sala,49%,40.80%,23.90C
26 02 23,20:58:48,cuarto,74.16359%,31%,24C
26 02 23,20:58:56,sala,49%,40.90%,24.00C
26 02 23,20:58:56,cuarto,74.45879%,31%,24C
26 02 23,20:59:03,sala,49%,40.70%,23.90C
26 02 23,20:59:03,cuarto,74.45879%,31%,24C
26 02 23,20:59:10,sala,49%,40.70%,24.00C
26 02 23,20:59:10,cuarto,74.70479%,30%,24C
26 02 23,20:59:17,sala,49%,40.50%,23.90C
26 02 23,20:59:17,cuarto,74.70479%,30%,24C
26 02 23,20:59:25,sala,49%,40.40%,23.90C
26 02 23,20:59:25,cuarto,74.50799%,30%,24C
26 02 23,20:59:39,sala,49%,40.40%,23.90C
26 02 23,20:59:39,cuarto,74.6064%,30%,24C
26 02 23,20:59:47,sala,49%,40.10%,23.90C
26 02 23,20:59:47,cuarto,74.16359%,31%,24C
26 02 23,20:59:54,sala,49%,40.10%,23.90C
26 02 23,20:59:54,cuarto,74.21279%,31%,24C
26 02 23,21:00:01,sala,49%,40.20%,23.90C
26 02 23,21:00:01,cuarto,74.45879%,31%,24C
26 02 23,21:00:08,saa,4%,.0,39C
26 02 23,21:00:08,cuarto,74.6064%,30%,24C
26 02 23,21:00:23,sala,49%,40.20%,23.90C
26 02 23,21:00:23,cuarto,74.06519%,30%,24C
26 02 23,21:00:30,sala,49%,40.30%,23.80C
26 02 23,21:00:30,cuarto,74.31119%,31%,24C
26 02 23,21:00:37,sala,49%,40.40%,23.80C
26 02 23,21:00:37,cuarto,74.65559%,30%,24C
26 02 23,21:00:45,sala,49%,40.70%,23.80C
26 02 23,21:00:45,cuarto,74.26199%,30%,24C
26 02 23,21:00:52,sala,49%,40.90%,23.80C
26 02 23,21:00:52,cuarto,74.26199%,31%,24C
26 02 23,21:00:59,sala,49%,40.90%,23.80C
26 02 23,21:00:59,cuarto,74.5572%,31%,24C
26 02 23,21:01:07,sala,49%,40.70%,23.80C
26 02 23,21:01:07,cuarto,74.31119%,31%,24C
26 02 23,21:01:14,sala,49%,40.60%,23.90C
26 02 23,21:01:14,cuarto,75.0%,31%,24C
26 02 23,21:01:21,sala,49%,40.50%,23.90C
26 02 23,21:01:21,cuarto,74.3604%,30%,24C
26 02 23,21:01:28,sala,49%,40.60%,23.90C
26 02 23,21:01:28,cuarto,74.50799%,31%,24C
26 02 23,21:01:36,sala,49%,40.80%,23.90C
26 02 23,21:01:36,cuarto,74.01599%,31%,24C
26 02 23,21:01:43,sala,49%,41.20%,23.90C
26 02 23,21:01:43,cuarto,74.65559%,31%,24C
26 02 23,21:01:50,sala,49%,41.50%,23.90C
26 02 23,21:01:50,cuarto,74.21279%,31%,24C
26 02 23,21:01:58,sala,49%,41.70%,23.90C
26 02 23,21:01:58,cuarto,74.65559%,31%,24C
26 02 23,21:02:05,sala,49%,41.80%,23.90C
26 02 23,21:02:05,cuarto,74.06519%,31%,24C
26 02 23,21:02:12,sala,49%,41.70%,23.90C
26 02 23,21:02:12,cuarto,74.31119%,31%,24C
26 02 23,21:02:19,sala,49%,41.70%,23.90C
26 02 23,21:02:19,cuarto,74.06519%,31%,24C
26 02 23,21:02:27,sala,49%,41.60%,23.90C
26 02 23,21:02:27,cuarto,74.45879%,31%,24C
26 02 23,21:02:34,sala,49%,41.50%,23.90C
26 02 23,21:02:34,cuarto,74.50799%,31%,24C
26 02 23,21:02:48,sala,49%,41.40%,23.90C
26 02 23,21:02:48,cuarto,74.40959%,30%,24C
26 02 23,21:02:56,sala,49%,41.60%,24.00C
26 02 23,21:02:56,cuarto,74.6064%,30%,24C
26 02 23,21:03:03,sala,49%,41.80%,24.00C
26 02 23,21:03:03,cuarto,74.21279%,30%,24C
26 02 23,21:03:10,sala,49%,42.20%,24.00C
26 02 23,21:03:10,cuarto,74.40959%,30%,24C
26 02 23,21:03:25,sala,49%,42.70%,24.00C
26 02 23,21:03:25,cuarto,74.26199%,29%,24C
26 02 23,21:03:32,sala,49%,43.00%,24.00C
26 02 23,21:03:32,cuarto,74.06519%,29%,24C
26 02 23,21:03:39,sala,49%,42.90%,24.00C
26 02 23,21:03:39,cuarto,74.6064%,29%,24C
26 02 23,21:03:47,sala,49%,42.60%,24.00C
26 02 23,21:03:47,cuarto,74.45879%,29%,24C
26 02 23,21:03:54,sala,49%,42.50%,24.00C
26 02 23,21:03:54,cuarto,74.50799%,29%,24C
26 02 23,21:04:01,sala,49%,42.40%,24.10C
26 02 23,21:04:01,cuarto,74.31119%,29%,24C
26 02 23,21:04:08,sala,49%,42.20%,24.10C
26 02 23,21:04:08,cuarto,74.70479%,29%,24C
26 02 23,21:04:16,sala,49%,42.30%,24.10C
26 02 23,21:04:16,cuarto,74.26199%,29%,24C
26 02 23,21:04:23,sala,49%,42.60%,24.10C
26 02 23,21:04:23,cuarto,74.45879%,29%,24C
26 02 23,21:04:30,sala,49%,42.10%,24.10C
26 02 23,21:04:30,cuarto,74.01599%,29%,24C
26 02 23,21:04:38,sala,49%,41.70%,24.10C
26 02 23,21:04:38,cuarto,74.6064%,29%,24C
26 02 23,21:04:45,sala,49%,41.40%,24.10C
26 02 23,21:04:45,cuarto,74.50799%,29%,24C
26 02 23,21:04:52,sala,49%,41.30%,24.10C
26 02 23,21:04:52,cuarto,74.40959%,29%,24C
26 02 23,21:04:59,sala,49%,41.50%,24.10C
26 02 23,21:04:59,cuarto,74.40959%,29%,24C
26 02 23,21:05:29,sala,49%,41.10%,24.00C
26 02 23,21:05:29,ut,449,9,4
26 02 23,21:05:43,sala,49%,41.30%,24.10C
26 02 23,21:05:43,ato7.09%,2%2C,caro7.113%2%2C,cato7.05%2%2C
26 02 23,21:06:05,sala,49%,42.10%,24.00C
26 02 23,21:06:05,cuarto,74.26199%,30%,24C
26 02 23,21:06:12,sala,49%,42.30%,24.00C
26 02 23,21:06:12,cuarto,74.26199%,30%,24C
26 02 23,21:06:19,sala,49%,42.30%,24.00C
26 02 23,21:06:19,cuarto,74.06519%,30%,24C
26 02 23,21:06:27,sala,49%,42.10%,24.00C
26 02 23,21:06:27,cuarto,74.06519%,30%,24C
26 02 23,21:06:34,sala,49%,41.50%,24.00C
26 02 23,21:06:34,cuarto,74.50799%,30%,24C
26 02 23,21:06:41,sala,49%,41.00%,24.00C
26 02 23,21:06:41,cuarto,74.50799%,30%,24C
26 02 23,21:06:49,sala,49%,40.60%,24.00C
26 02 23,21:06:49,cuarto,74.45879%,30%,24C
26 02 23,21:06:56,sala,49%,40.40%,24.00C
26 02 23,21:06:56,cuarto,74.5572%,30%,24C
26 02 23,21:07:03,sala,49%,40.40%,24.00C
26 02 23,21:07:03,cuarto,74.70479%,29%,24C
26 02 23,21:07:10,sala,49%,40.60%,24.00C
26 02 23,21:07:10,cuarto,74.06519%,29%,24C
26 02 23,21:07:18,sala,49%,41.10%,24.00C
26 02 23,21:07:18,cuarto,74.40959%,29%,24C
26 02 23,21:07:25,sala,49%,41.60%,24.00C
26 02 23,21:07:25,cuarto,74.21279%,29%,24C
26 02 23,21:07:32,sala,49%,41.90%,24.00C
26 02 23,21:07:32,cuarto,74.11439%,29%,24C
26 02 23,21:07:39,sala,49%,42.10%,24.00C
26 02 23,21:07:39,cuarto,74.31119%,29%,24C
26 02 23,21:07:47,sala,49%,42.20%,24.00C
26 02 23,21:07:47,cuarto,74.26199%,29%,24C
26 02 23,21:07:54,sala,49%,41.90%,24.00C
26 02 23,21:07:54,cuarto,74.70479%,29%,24C
26 02 23,21:08:01,sala,49%,41.60%,24.00C
26 02 23,21:08:01,cuarto,73.96679%,29%,24C
26 02 23,21:08:09,sala,49%,41.50%,24.00C
26 02 23,21:08:09,cuarto,74.65559%,29%,24C
26 02 23,21:08:16,sala,49%,41.40%,24.00C
26 02 23,21:08:16,cuarto,74.26199%,29%,24C
26 02 23,21:08:23,sala,49%,41.60%,24.00C
26 02 23,21:08:23,cuarto,74.21279%,28%,24C
26 02 23,21:08:30,sala,49%,41.70%,24.00C
26 02 23,21:08:30,cuarto,74.21279%,28%,24C
26 02 23,21:08:38,sala,49%,41.90%,24.00C
26 02 23,21:08:38,cuarto,74.11439%,28%,24C
26 02 23,21:08:45,sala,49%,41.90%,24.00C
26 02 23,21:08:45,cuarto,74.40959%,28%,24C
26 02 23,21:08:52,sala,49%,42.10%,24.00C
26 02 23,21:08:52,cuarto,74.06519%,28%,24C
26 02 23,21:08:59,sala,49%,42.20%,24.00C
26 02 23,21:08:59,cuarto,74.26199%,28%,24C
26 02 23,21:09:07,sala,49%,42.30%,24.00C
26 02 23,21:09:07,cuarto,74.31119%,28%,24C
26 02 23,21:09:14,sala,49%,42.40%,24.00C
26 02 23,21:09:14,cuarto,74.5572%,28%,24C
26 02 23,21:09:21,sala,49%,42.40%,24.00C
26 02 23,21:09:21,cuarto,74.21279%,30%,24C
26 02 23,21:09:29,sala,49%,42.20%,24.00C
26 02 23,21:09:29,cuarto,74.26199%,30%,24C
26 02 23,21:09:36,sala,49%,42.20%,24.00C
26 02 23,21:09:36,cuarto,74.26199%,30%,24C
26 02 23,21:09:50,sala,49%,42.30%,24.10C
26 02 23,21:09:50,cuarto,74.65559%,31%,24C
26 02 23,21:09:58,sala,49%,42.30%,24.10C
26 02 23,21:09:58,cuarto,74.50799%,31%,24C
26 02 23,21:10:20,sala,49%,42.40%,24.10C
26 02 23,21:10:20,cuarto,73.96679%,31%,24C
26 02 23,21:10:27,sala,49%,42.50%,24.10C
26 02 23,21:10:27,cuarto,74.50799%,31%,24C
26 02 23,21:10:34,sala,49%,42.50%,24.10C
26 02 23,21:10:34,cuarto,74.70479%,31%,24C
26 02 23,21:10:41,sala,49%,42.70%,24.10C
26 02 23,21:10:41,cuarto,74.50799%,31%,24C
26 02 23,21:10:49,sala,49%,42.70%,24.10C
26 02 23,21:10:49,cuarto,74.40959%,31%,24C
26 02 23,21:10:56,sala,49%,42.80%,24.20C
26 02 23,21:10:56,cuarto,74.31119%,32%,24C
26 02 23,21:11:03,sala,49%,42.60%,24.10C
26 02 23,21:11:03,cuarto,74.21279%,32%,24C
26 02 23,21:11:10,sala,49%,42.60%,24.10C
26 02 23,21:11:10,cuarto,74.21279%,32%,24C
26 02 23,21:11:18,sala,49%,42.70%,24.10C
26 02 23,21:11:18,cuarto,74.26199%,31%,24C
26 02 23,21:11:25,sala,49%,42.30%,24.10C
26 02 23,21:11:25,cuarto,74.6064%,30%,24C
26 02 23,21:11:32,sala,49%,42.10%,24.10C
26 02 23,21:11:32,cuarto,74.06519%,29%,24C
26 02 23,21:11:40,sala,49%,42.30%,24.10C
26 02 23,21:11:40,cuarto,74.11439%,29%,24C
26 02 23,21:11:47,sala,49%,42.60%,24.10C
26 02 23,21:11:47,cuarto,74.45879%,29%,24C
26 02 23,21:11:54,sala,49%,42.50%,24.10C
26 02 23,21:11:54,cuarto,73.96679%,29%,24C
26 02 23,21:12:01,sala,49%,42.50%,24.10C
26 02 23,21:12:01,cuarto,74.65559%,29%,24C
26 02 23,21:12:09,sala,49%,42.50%,24.10C
26 02 23,21:12:09,cuarto,74.40959%,29%,24C
26 02 23,21:12:16,sala,49%,42.50%,24.10C
26 02 23,21:12:16,cuarto,74.50799%,28%,24C
26 02 23,21:12:23,sala,49%,42.50%,24.10C
26 02 23,21:12:23,cuarto,74.26199%,28%,24C
26 02 23,21:12:30,sala,49%,42.10%,24.10C
26 02 23,21:12:30,cuarto,74.45879%,29%,24C
26 02 23,21:12:38,sala,49%,41.50%,24.10C
26 02 23,21:12:38,cuarto,74.31119%,29%,24C
26 02 23,21:12:45,sala,49%,41.20%,24.10C
26 02 23,21:12:45,cuarto,74.11439%,29%,24C
26 02 23,21:12:52,sala,49%,40.90%,24.10C
26 02 23,21:12:52,cuarto,74.31119%,29%,24C
26 02 23,21:13:00,sala,49%,40.70%,24.10C
26 02 23,21:13:00,cuarto,74.06519%,29%,24C
26 02 23,21:13:07,sala,49%,40.60%,24.10C
26 02 23,21:13:07,cuarto,74.21279%,29%,24C
26 02 23,21:13:14,sala,49%,40.60%,24.10C
26 02 23,21:13:14,cuarto,74.01599%,29%,24C
26 02 23,21:13:21,sala,49%,40.70%,24.00C
26 02 23,21:13:21,cuarto,74.11439%,29%,24C
26 02 23,21:13:29,sala,49%,40.60%,24.00C
26 02 23,21:13:29,cuarto,74.21279%,29%,24C
26 02 23,21:13:36,sala,49%,40.60%,24.00C
26 02 23,21:13:36,cuarto,74.21279%,29%,24C
26 02 23,21:13:43,sala,49%,40.70%,24.00C
26 02 23,21:13:43,cuarto,74.26199%,29%,24C
26 02 23,21:13:50,sala,49%,40.70%,24.00C
26 02 23,21:13:50,cuarto,73.96679%,29%,24C
26 02 23,21:13:58,sala,49%,40.70%,24.00C
26 02 23,21:13:58,cuarto,74.6064%,29%,24C
26 02 23,21:14:05,sala,49%,40.90%,24.00C
26 02 23,21:14:05,cuarto,74.16359%,30%,24C
26 02 23,21:14:12,sala,49%,40.90%,24.00C
26 02 23,21:14:12,cuarto,74.45879%,30%,24C
26 02 23,21:14:20,sala,49%,40.70%,23.90C
26 02 23,21:14:20,cuarto,74.11439%,30%,24C
26 02 23,21:14:27,sala,49%,40.80%,23.90C
26 02 23,21:14:27,cuarto,74.21279%,31%,24C
26 02 23,21:14:34,sala,49%,40.90%,23.90C
26 02 23,21:14:34,cuarto,74.11439%,31%,24C
26 02 23,21:14:41,sala,49%,40.80%,23.90C
26 02 23,21:14:41,cuarto,74.6064%,31%,24C
26 02 23,21:14:49,sala,49%,40.90%,23.90C
26 02 23,21:14:49,cuarto,74.26199%,31%,24C
26 02 23,21:14:56,sala,49%,40.90%,23.90C
26 02 23,21:14:56,cuarto,74.45879%,31%,24C
26 02 23,21:15:03,sala,49%,41.00%,23.80C
26 02 23,21:15:03,cuarto,73.96679%,32%,24C
26 02 23,21:16:09,sala,49%,42.40%,23.90C
